Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
13/4/2008,18:04:00,2.636,0.910,236.350,12.600,1.000,17.000,1.0
13/4/2008,18:05:00,3.024,0.576,236.650,13.600,1.000,28.000,0.0
13/4/2008,18:06:00,2.616,1.102,236.700,12.400,1.000,12.000,1.0
13/4/2008,18:07:00,1.770,0.804,237.570,8.600,1.000,4.000,1.0
13/4/2008,18:08:00,1.290,0.380,237.720,5.600,2.000,3.000,0.0
13/4/2008,18:09:00,1.972,0.376,236.480,8.800,1.000,4.000,11.0
13/4/2008,18:10:00,2.402,0.340,235.990,10.200,1.000,4.000,18.0
13/4/2008,18:11:00,2.388,0.356,236.790,10.200,1.000,4.000,19.0
13/4/2008,18:12:00,3.630,0.332,235.930,16.000,1.000,23.000,18.0
13/4/2008,18:13:00,4.528,0.330,234.690,19.200,2.000,41.000,17.0
13/4/2008,18:14:00,4.464,0.304,234.330,19.000,1.000,39.000,18.0
13/4/2008,18:15:00,4.392,0.376,234.190,18.800,1.000,39.000,18.0
13/4/2008,18:16:00,4.394,0.392,233.690,18.800,1.000,38.000,17.0
13/4/2008,18:17:00,4.406,0.394,234.310,18.800,1.000,38.000,18.0
13/4/2008,18:18:00,4.420,0.390,233.940,18.800,2.000,39.000,17.0
13/4/2008,18:19:00,4.440,0.392,234.450,19.000,1.000,39.000,17.0
13/4/2008,18:20:00,4.532,0.404,234.650,19.400,1.000,39.000,18.0
13/4/2008,18:21:00,4.540,0.390,233.340,19.400,1.000,38.000,17.0
13/4/2008,18:22:00,4.672,0.386,232.570,20.000,1.000,38.000,18.0
13/4/2008,18:23:00,4.646,0.382,232.490,20.000,1.000,38.000,17.0
13/4/2008,18:24:00,4.678,0.386,232.550,20.000,2.000,38.000,17.0
13/4/2008,18:25:00,4.448,0.390,232.280,19.400,1.000,36.000,17.0
13/4/2008,18:26:00,2.684,0.514,235.940,11.600,1.000,3.000,18.0
13/4/2008,18:27:00,2.760,0.556,235.980,11.800,1.000,3.000,18.0
13/4/2008,18:28:00,3.616,1.148,234.640,16.600,1.000,5.000,17.0
13/4/2008,18:29:00,3.584,1.274,235.310,16.400,1.000,2.000,18.0
13/4/2008,18:30:00,2.774,0.598,237.180,11.800,1.000,2.000,18.0
13/4/2008,18:31:00,2.798,0.564,237.350,12.000,1.000,3.000,18.0
13/4/2008,18:32:00,3.030,0.560,236.780,13.000,1.000,2.000,17.0
13/4/2008,18:33:00,3.126,0.546,235.800,13.400,2.000,3.000,18.0
13/4/2008,18:34:00,3.110,0.572,235.880,13.400,1.000,3.000,18.0
13/4/2008,18:35:00,3.120,0.664,235.710,13.400,0.000,2.000,17.0
13/4/2008,18:36:00,3.170,0.700,236.280,13.600,1.000,3.000,18.0
13/4/2008,18:37:00,5.088,0.638,234.970,21.800,32.000,1.000,18.0
13/4/2008,18:38:00,5.296,0.624,234.550,22.600,37.000,2.000,17.0
13/4/2008,18:39:00,5.316,0.612,233.860,22.800,36.000,3.000,18.0
13/4/2008,18:40:00,5.416,0.622,234.310,23.200,37.000,2.000,17.0
13/4/2008,18:41:00,5.320,0.606,232.960,23.000,36.000,3.000,17.0
13/4/2008,18:42:00,5.282,0.630,233.160,22.800,36.000,3.000,18.0
13/4/2008,18:43:00,6.290,1.364,231.140,28.000,36.000,6.000,17.0
13/4/2008,18:44:00,6.342,1.390,231.770,28.000,36.000,7.000,17.0
13/4/2008,18:45:00,5.796,0.918,233.330,25.200,36.000,6.000,17.0
13/4/2008,18:46:00,5.646,0.854,232.770,24.600,36.000,6.000,17.0
13/4/2008,18:47:00,5.202,0.614,232.540,22.600,36.000,4.000,18.0
13/4/2008,18:48:00,5.132,0.592,232.720,22.200,35.000,2.000,17.0
13/4/2008,18:49:00,4.216,0.418,234.870,18.200,37.000,1.000,5.0
13/4/2008,18:50:00,4.870,0.458,233.490,21.400,36.000,14.000,1.0
13/4/2008,18:51:00,5.106,0.444,233.990,22.400,21.000,37.000,0.0
13/4/2008,18:52:00,3.446,0.468,235.120,15.200,0.000,28.000,1.0
13/4/2008,18:53:00,3.968,0.456,235.190,17.000,0.000,37.000,1.0
13/4/2008,18:54:00,3.434,0.480,235.660,15.200,0.000,29.000,0.0
13/4/2008,18:55:00,4.702,1.198,233.910,20.800,1.000,36.000,1.0
13/4/2008,18:56:00,4.692,1.192,233.850,20.800,0.000,37.000,0.0
13/4/2008,18:57:00,4.386,0.932,233.820,19.400,0.000,36.000,1.0
13/4/2008,18:58:00,3.976,0.590,234.410,17.200,0.000,23.000,1.0
13/4/2008,18:59:00,4.322,0.896,233.220,19.000,0.000,36.000,0.0
13/4/2008,19:00:00,4.388,0.936,233.440,19.400,0.000,37.000,1.0
13/4/2008,19:01:00,3.784,0.328,233.430,16.200,0.000,36.000,1.0
13/4/2008,19:02:00,3.754,0.362,233.660,16.200,0.000,37.000,0.0
13/4/2008,19:03:00,3.714,0.348,234.000,16.000,0.000,36.000,1.0
13/4/2008,19:04:00,4.316,0.954,233.610,19.000,0.000,37.000,0.0
13/4/2008,19:05:00,3.498,0.846,234.850,15.600,0.000,25.000,1.0
13/4/2008,19:06:00,3.552,0.850,234.120,15.800,0.000,25.000,1.0
13/4/2008,19:07:00,3.376,0.138,235.130,14.400,0.000,37.000,0.0
13/4/2008,19:08:00,3.212,0.154,235.700,13.600,0.000,37.000,1.0
13/4/2008,19:09:00,3.240,0.158,234.900,13.800,0.000,37.000,1.0
13/4/2008,19:10:00,2.750,0.144,235.560,12.000,0.000,30.000,0.0
13/4/2008,19:11:00,2.402,0.138,236.330,10.400,0.000,22.000,1.0
13/4/2008,19:12:00,2.954,0.136,235.210,12.800,0.000,33.000,0.0
13/4/2008,19:13:00,2.170,0.132,235.650,9.400,0.000,18.000,1.0
13/4/2008,19:14:00,3.222,0.124,234.180,13.800,0.000,36.000,1.0
13/4/2008,19:15:00,3.246,0.110,232.470,14.000,0.000,37.000,0.0
13/4/2008,19:16:00,3.438,0.110,231.320,14.800,0.000,35.000,1.0
13/4/2008,19:17:00,3.390,0.104,230.900,14.600,0.000,36.000,1.0
13/4/2008,19:18:00,3.392,0.110,230.760,14.600,0.000,36.000,0.0
13/4/2008,19:19:00,3.482,0.202,230.860,15.000,0.000,35.000,1.0
13/4/2008,19:20:00,3.446,0.334,231.240,15.000,0.000,34.000,0.0
13/4/2008,19:21:00,2.620,0.394,231.480,11.400,0.000,16.000,1.0
13/4/2008,19:22:00,3.784,0.380,230.030,16.400,0.000,35.000,1.0
13/4/2008,19:23:00,2.514,0.484,230.350,11.200,0.000,20.000,0.0
13/4/2008,19:24:00,3.336,0.476,230.240,14.800,0.000,30.000,1.0
13/4/2008,19:25:00,4.142,0.474,229.580,18.200,0.000,35.000,0.0
13/4/2008,19:26:00,4.126,0.494,229.120,18.000,0.000,35.000,1.0
13/4/2008,19:27:00,4.016,0.472,231.210,17.400,0.000,36.000,1.0
13/4/2008,19:28:00,4.054,0.450,229.080,17.800,0.000,35.000,0.0
13/4/2008,19:29:00,2.622,0.462,231.460,11.600,0.000,18.000,1.0
13/4/2008,19:30:00,3.952,0.530,230.410,17.400,0.000,26.000,0.0
13/4/2008,19:31:00,3.534,0.494,231.060,15.800,0.000,20.000,1.0
13/4/2008,19:32:00,3.116,0.460,232.110,14.000,0.000,24.000,1.0
13/4/2008,19:33:00,2.842,0.470,233.610,12.600,0.000,26.000,0.0
13/4/2008,19:34:00,2.698,0.562,233.810,12.200,0.000,19.000,1.0
13/4/2008,19:35:00,3.596,0.522,233.570,15.600,0.000,32.000,1.0
13/4/2008,19:36:00,2.958,0.564,234.140,13.400,0.000,20.000,0.0
13/4/2008,19:37:00,3.586,0.442,234.100,15.600,0.000,31.000,9.0
13/4/2008,19:38:00,3.404,0.438,233.910,14.800,0.000,29.000,10.0
13/4/2008,19:39:00,3.158,0.464,235.820,13.600,0.000,22.000,11.0
13/4/2008,19:40:00,3.902,0.386,234.090,16.800,0.000,37.000,12.0
13/4/2008,19:41:00,3.194,0.248,235.160,13.600,0.000,37.000,2.0
13/4/2008,19:42:00,3.100,0.150,235.810,13.200,0.000,37.000,0.0
13/4/2008,19:43:00,2.852,0.126,236.660,12.200,0.000,34.000,1.0
13/4/2008,19:44:00,1.990,0.138,238.840,8.400,0.000,18.000,0.0
13/4/2008,19:45:00,3.122,0.126,237.900,13.200,0.000,37.000,1.0
13/4/2008,19:46:00,2.880,0.116,237.110,12.200,0.000,35.000,1.0
13/4/2008,19:47:00,1.962,0.136,238.040,8.400,0.000,18.000,0.0
13/4/2008,19:48:00,2.782,0.120,237.700,12.000,0.000,33.000,1.0
13/4/2008,19:49:00,2.070,0.136,238.090,8.800,0.000,19.000,1.0
13/4/2008,19:50:00,2.694,0.116,236.470,11.600,0.000,32.000,0.0
13/4/2008,19:51:00,2.092,0.128,236.100,9.000,0.000,19.000,1.0
13/4/2008,19:52:00,3.034,0.104,235.170,12.800,0.000,37.000,1.0
13/4/2008,19:53:00,2.444,0.124,236.090,10.600,0.000,28.000,0.0
13/4/2008,19:54:00,2.262,0.110,234.500,10.000,0.000,24.000,1.0
13/4/2008,19:55:00,2.758,0.112,234.260,12.000,0.000,33.000,0.0
13/4/2008,19:56:00,1.940,0.116,235.760,8.400,0.000,18.000,1.0
13/4/2008,19:57:00,3.048,0.116,235.690,13.000,0.000,37.000,1.0
13/4/2008,19:58:00,2.898,0.112,237.250,12.400,0.000,35.000,0.0
13/4/2008,19:59:00,1.882,0.138,237.850,8.000,0.000,18.000,1.0
13/4/2008,20:00:00,2.816,0.116,237.670,12.000,0.000,33.000,1.0
13/4/2008,20:01:00,1.958,0.142,238.150,8.400,0.000,18.000,0.0
13/4/2008,20:02:00,1.358,0.182,239.160,6.400,0.000,10.000,1.0
13/4/2008,20:03:00,1.206,0.258,239.520,5.200,0.000,5.000,1.0
13/4/2008,20:04:00,1.164,0.236,239.730,5.000,0.000,4.000,0.0
13/4/2008,20:05:00,1.204,0.262,239.750,5.200,0.000,5.000,1.0
13/4/2008,20:06:00,1.162,0.240,240.380,5.000,0.000,5.000,1.0
13/4/2008,20:07:00,1.196,0.260,239.390,5.200,0.000,5.000,0.0
13/4/2008,20:08:00,1.146,0.226,238.300,5.000,0.000,4.000,1.0
13/4/2008,20:09:00,1.402,0.268,238.060,6.200,0.000,5.000,1.0
13/4/2008,20:10:00,1.898,0.240,237.060,8.400,0.000,2.000,5.0
13/4/2008,20:11:00,2.596,0.228,236.480,11.000,0.000,1.000,18.0
13/4/2008,20:12:00,3.026,0.222,235.700,13.000,0.000,1.000,18.0
13/4/2008,20:13:00,3.296,0.216,234.880,14.000,0.000,2.000,18.0
13/4/2008,20:14:00,3.156,0.342,235.330,13.600,0.000,1.000,18.0
13/4/2008,20:15:00,3.294,0.210,235.290,14.000,0.000,1.000,18.0
13/4/2008,20:16:00,3.738,0.290,235.670,16.000,0.000,1.000,18.0
13/4/2008,20:17:00,3.756,0.334,235.260,16.000,0.000,1.000,17.0
13/4/2008,20:18:00,3.764,0.336,235.690,16.000,0.000,2.000,18.0
13/4/2008,20:19:00,3.772,0.336,235.740,16.000,0.000,1.000,18.0
13/4/2008,20:20:00,3.766,0.328,234.380,16.200,0.000,1.000,17.0
13/4/2008,20:21:00,3.392,0.264,235.940,14.400,0.000,0.000,18.0
13/4/2008,20:22:00,3.162,0.228,235.640,13.400,0.000,0.000,18.0
13/4/2008,20:23:00,3.112,0.228,234.760,13.200,0.000,0.000,17.0
13/4/2008,20:24:00,3.104,0.226,234.300,13.200,0.000,0.000,18.0
13/4/2008,20:25:00,3.806,0.238,233.740,16.600,0.000,0.000,17.0
13/4/2008,20:26:00,3.436,0.272,234.380,14.800,0.000,0.000,17.0
13/4/2008,20:27:00,3.140,0.260,234.020,13.400,0.000,0.000,18.0
13/4/2008,20:28:00,3.184,0.264,234.930,13.600,0.000,0.000,17.0
13/4/2008,20:29:00,3.168,0.266,235.100,13.600,0.000,0.000,18.0
13/4/2008,20:30:00,3.238,0.270,235.190,13.800,0.000,0.000,18.0
13/4/2008,20:31:00,3.870,0.372,235.320,16.800,0.000,0.000,17.0
13/4/2008,20:32:00,3.282,0.222,236.490,14.200,0.000,0.000,18.0
13/4/2008,20:33:00,2.864,0.164,237.430,12.000,1.000,0.000,18.0
13/4/2008,20:34:00,2.838,0.148,236.080,12.000,1.000,0.000,18.0
13/4/2008,20:35:00,2.838,0.150,236.180,12.000,1.000,0.000,17.0
13/4/2008,20:36:00,2.792,0.078,236.380,11.800,2.000,0.000,18.0
13/4/2008,20:37:00,2.756,0.000,236.510,11.600,1.000,0.000,18.0
13/4/2008,20:38:00,2.762,0.000,236.890,11.600,1.000,0.000,18.0
13/4/2008,20:39:00,2.752,0.000,236.360,11.600,1.000,0.000,18.0
13/4/2008,20:40:00,2.864,0.000,236.740,12.200,1.000,0.000,17.0
13/4/2008,20:41:00,2.932,0.000,237.010,12.400,1.000,0.000,18.0
13/4/2008,20:42:00,2.918,0.000,236.350,12.400,2.000,0.000,18.0
13/4/2008,20:43:00,2.988,0.000,235.830,12.600,1.000,0.000,18.0
13/4/2008,20:44:00,2.922,0.000,236.100,12.400,1.000,0.000,17.0
13/4/2008,20:45:00,2.920,0.000,235.910,12.400,1.000,0.000,18.0
13/4/2008,20:46:00,2.904,0.000,235.150,12.400,2.000,0.000,18.0
13/4/2008,20:47:00,3.140,0.000,234.770,13.400,0.000,0.000,17.0
13/4/2008,20:48:00,3.166,0.000,235.330,13.400,2.000,0.000,18.0
13/4/2008,20:49:00,3.188,0.000,235.610,13.600,1.000,0.000,18.0
13/4/2008,20:50:00,3.908,0.000,234.870,16.600,1.000,0.000,17.0
13/4/2008,20:51:00,3.660,0.000,235.510,15.600,1.000,0.000,18.0
13/4/2008,20:52:00,3.472,0.000,235.850,14.800,1.000,0.000,17.0
13/4/2008,20:53:00,4.334,0.000,234.780,19.000,17.000,0.000,18.0
13/4/2008,20:54:00,4.854,0.000,233.920,20.800,36.000,0.000,17.0
13/4/2008,20:55:00,4.696,0.000,233.460,20.000,37.000,0.000,18.0
13/4/2008,20:56:00,4.642,0.000,233.070,19.800,36.000,0.000,17.0
13/4/2008,20:57:00,4.682,0.000,233.270,20.000,37.000,0.000,17.0
13/4/2008,20:58:00,4.686,0.000,233.140,20.000,36.000,0.000,18.0
13/4/2008,20:59:00,4.668,0.000,232.570,20.000,36.000,0.000,17.0
13/4/2008,21:00:00,4.656,0.000,232.350,20.000,36.000,0.000,17.0
13/4/2008,21:01:00,4.664,0.000,232.650,20.000,36.000,0.000,17.0
13/4/2008,21:02:00,4.682,0.000,232.680,20.200,36.000,0.000,17.0
13/4/2008,21:03:00,3.714,0.080,234.530,16.400,21.000,0.000,18.0
13/4/2008,21:04:00,2.668,0.090,236.190,11.400,1.000,0.000,18.0
13/4/2008,21:05:00,2.666,0.090,236.220,11.400,1.000,0.000,17.0
13/4/2008,21:06:00,2.664,0.088,235.870,11.400,1.000,0.000,18.0
13/4/2008,21:07:00,2.662,0.088,235.850,11.400,1.000,0.000,18.0
13/4/2008,21:08:00,2.668,0.092,236.650,11.400,2.000,0.000,18.0
13/4/2008,21:09:00,2.684,0.096,237.730,11.400,1.000,0.000,18.0
13/4/2008,21:10:00,2.684,0.096,237.690,11.400,1.000,0.000,18.0
13/4/2008,21:11:00,2.786,0.198,237.680,11.800,1.000,0.000,18.0
13/4/2008,21:12:00,2.798,0.224,237.280,11.800,1.000,0.000,17.0
13/4/2008,21:13:00,2.694,0.214,236.440,11.400,2.000,0.000,18.0
13/4/2008,21:14:00,2.480,0.164,236.420,10.400,1.000,0.000,18.0
13/4/2008,21:15:00,2.460,0.138,236.550,10.400,1.000,0.000,18.0
13/4/2008,21:16:00,2.412,0.064,236.590,10.200,1.000,0.000,18.0
13/4/2008,21:17:00,2.442,0.062,236.040,10.400,1.000,0.000,17.0
13/4/2008,21:18:00,2.588,0.062,236.210,11.000,2.000,0.000,18.0
13/4/2008,21:19:00,2.594,0.060,236.170,11.000,1.000,0.000,18.0
13/4/2008,21:20:00,2.512,0.062,236.330,10.600,1.000,0.000,18.0
13/4/2008,21:21:00,2.506,0.064,237.390,10.600,1.000,0.000,18.0
13/4/2008,21:22:00,2.668,0.064,237.850,11.200,1.000,0.000,18.0
13/4/2008,21:23:00,2.662,0.066,237.770,11.200,1.000,0.000,18.0
13/4/2008,21:24:00,2.566,0.066,237.370,10.800,2.000,0.000,17.0
13/4/2008,21:25:00,2.482,0.066,236.970,10.400,1.000,0.000,18.0
13/4/2008,21:26:00,2.478,0.064,236.690,10.400,1.000,0.000,18.0
13/4/2008,21:27:00,2.482,0.066,237.020,10.400,1.000,0.000,18.0
13/4/2008,21:28:00,2.494,0.068,237.750,10.400,1.000,0.000,18.0
13/4/2008,21:29:00,2.478,0.064,236.820,10.400,2.000,0.000,18.0
13/4/2008,21:30:00,2.468,0.052,236.550,10.400,1.000,0.000,18.0
13/4/2008,21:31:00,2.400,0.060,237.620,10.000,1.000,0.000,18.0
13/4/2008,21:32:00,2.402,0.060,237.710,10.000,1.000,0.000,17.0
13/4/2008,21:33:00,2.402,0.058,238.100,10.000,1.000,0.000,19.0
13/4/2008,21:34:00,2.144,0.054,239.120,9.000,2.000,0.000,18.0
13/4/2008,21:35:00,2.140,0.054,238.950,9.000,1.000,0.000,18.0
13/4/2008,21:36:00,2.134,0.056,238.450,9.000,1.000,0.000,18.0
13/4/2008,21:37:00,2.150,0.054,239.590,9.000,1.000,0.000,18.0
13/4/2008,21:38:00,2.140,0.056,239.010,9.000,1.000,0.000,18.0
13/4/2008,21:39:00,2.144,0.054,239.510,9.000,2.000,0.000,19.0
13/4/2008,21:40:00,2.144,0.054,239.890,9.000,1.000,0.000,18.0
13/4/2008,21:41:00,2.140,0.054,239.610,9.000,1.000,0.000,18.0
13/4/2008,21:42:00,2.132,0.058,239.020,9.000,1.000,0.000,18.0
13/4/2008,21:43:00,2.134,0.056,239.160,9.000,1.000,0.000,18.0
13/4/2008,21:44:00,2.088,0.054,239.240,8.800,2.000,0.000,19.0
13/4/2008,21:45:00,2.130,0.000,238.950,9.000,1.000,0.000,18.0
13/4/2008,21:46:00,2.126,0.048,238.830,8.800,1.000,0.000,18.0
13/4/2008,21:47:00,2.138,0.048,239.750,8.800,1.000,0.000,18.0
13/4/2008,21:48:00,2.200,0.046,239.550,9.200,2.000,0.000,18.0
13/4/2008,21:49:00,2.296,0.000,238.640,9.600,1.000,0.000,19.0
13/4/2008,21:50:00,2.364,0.000,238.640,10.000,1.000,0.000,18.0
13/4/2008,21:51:00,2.626,0.000,238.410,11.000,1.000,0.000,18.0
13/4/2008,21:52:00,2.620,0.000,238.730,11.000,1.000,0.000,18.0
13/4/2008,21:53:00,2.638,0.000,239.630,11.000,2.000,0.000,18.0
13/4/2008,21:54:00,2.658,0.064,240.280,11.000,1.000,0.000,18.0
13/4/2008,21:55:00,2.622,0.082,240.830,10.800,1.000,0.000,19.0
13/4/2008,21:56:00,2.608,0.078,240.650,10.800,0.000,0.000,18.0
13/4/2008,21:57:00,2.578,0.000,241.130,10.600,1.000,0.000,19.0
13/4/2008,21:58:00,2.002,0.000,241.750,8.600,1.000,0.000,9.0
13/4/2008,21:59:00,1.534,0.000,242.190,6.400,2.000,0.000,1.0
13/4/2008,22:00:00,1.522,0.000,241.690,6.400,1.000,0.000,1.0
13/4/2008,22:01:00,1.518,0.046,241.290,6.400,1.000,0.000,0.0
13/4/2008,22:02:00,1.508,0.050,240.390,6.200,1.000,0.000,1.0
13/4/2008,22:03:00,1.514,0.048,240.190,6.400,2.000,0.000,1.0
13/4/2008,22:04:00,1.516,0.048,240.460,6.400,1.000,0.000,0.0
13/4/2008,22:05:00,1.486,0.000,241.290,6.200,0.000,0.000,1.0
13/4/2008,22:06:00,1.520,0.000,241.630,6.400,1.000,0.000,1.0
13/4/2008,22:07:00,1.598,0.110,241.340,6.600,1.000,0.000,0.0
13/4/2008,22:08:00,1.710,0.090,240.760,7.200,1.000,0.000,1.0
13/4/2008,22:09:00,3.818,0.060,238.560,16.000,36.000,0.000,1.0
13/4/2008,22:10:00,3.796,0.058,238.090,15.800,38.000,0.000,0.0
13/4/2008,22:11:00,3.788,0.058,237.940,15.800,38.000,0.000,1.0
13/4/2008,22:12:00,3.760,0.056,237.170,15.800,37.000,0.000,1.0
13/4/2008,22:13:00,3.770,0.058,237.770,15.800,38.000,0.000,0.0
13/4/2008,22:14:00,3.776,0.060,238.130,15.800,37.000,0.000,1.0
13/4/2008,22:15:00,3.790,0.060,238.660,15.800,38.000,0.000,1.0
13/4/2008,22:16:00,3.788,0.058,238.110,15.800,37.000,0.000,0.0
